Ticker,Name,Weight,Shares,Price
VMC UN Equity,Vulcan Materials Co,--,--,171.03
AMRC UN Equity,Ameresco Inc,--,--,65.35
GHC UN Equity,Graham Holdings Co,--,--,655.49
WY UN Equity,Weyerhaeuser Co,--,--,33.97
WHR UN Equity,Whirlpool Corp,--,--,217.25
WMB UN Equity,Williams Cos Inc/The,--,--,26.42
ITOS UQ Equity,iTeos Therapeutics Inc,--,--,24.64
INZY UW Equity,Inozyme Pharma Inc,--,--,17
WEC UN Equity,WEC Energy Group Inc,--,--,90.7
NRIX UQ Equity,Nurix Therapeutics Inc,--,--,24
ANNX UW Equity,Annexon Inc,--,--,23.05
ADBE UW Equity,Adobe Inc,--,--,596.9
AES UN Equity,AES Corp/The,--,--,26
AMGN UW Equity,Amgen Inc,--,--,243.65
AAPL UW Equity,Apple Inc,--,--,142.02
ADSK UW Equity,Autodesk Inc,--,--,295.6
CTAS UW Equity,Cintas Corp,--,--,382.78
ESTC UN Equity,Elastic NV,--,--,148.96
CMCSA UW Equity,Comcast Corp,--,--,57.66
TAP UN Equity,Molson Coors Beverage Co,--,--,52.02
KLAC UW Equity,KLA Corp,--,--,311.25
MKC UN Equity,McCormick & Co Inc/MD,--,--,88.05
JWN UN Equity,Nordstrom Inc,--,--,36.25
PCAR UW Equity,PACCAR Inc,--,--,86.75
MOD UN Equity,Modine Manufacturing Co,--,--,16.36
COST UW Equity,Costco Wholesale Corp,--,--,398.86
GKOS UN Equity,Glaukos Corp,--,--,82.53
SYK UN Equity,Stryker Corp,--,--,264.86
TSN UN Equity,Tyson Foods Inc,--,--,73.03
AMAT UW Equity,Applied Materials Inc,--,--,136.78
BBBY UW Equity,Bed Bath & Beyond Inc,--,--,30.28
CAH UN Equity,Cardinal Health Inc,--,--,56.95
MTZ UN Equity,MasTec Inc,--,--,102.64
CERN UW Equity,Cerner Corp,--,--,79.56
CINF UW Equity,Cincinnati Financial Corp,--,--,116.38
VIR UW Equity,Vir Biotechnology Inc,--,--,41.31
WLTW UW Equity,Willis Towers Watson PLC,--,--,229.95
HBT UW Equity,HBT Financial Inc,--,--,17.16
DHI UN Equity,DR Horton Inc,--,--,90.9
FLS UN Equity,Flowserve Corp,--,--,39.42
ATGE UN Equity,Adtalem Global Education Inc,--,--,38.61
EA UW Equity,Electronic Arts Inc,--,--,143
EXPD UW Equity,Expeditors International of Washington I,--,--,127
SEAS UN Equity,SeaWorld Entertainment Inc,--,--,49.03
OTLK UR Equity,Outlook Therapeutics Inc,--,--,2.42
FAST UW Equity,Fastenal Co,--,--,52.46
MTB UN Equity,M&T Bank Corp,--,--,141.59
FISV UW Equity,Fiserv Inc,--,--,108.7
FITB UW Equity,Fifth Third Bancorp,--,--,37.32
ITRI UW Equity,Itron Inc,--,--,98.28
FHN UN Equity,First Horizon Corp,--,--,16.64
BF/A UN Equity,Brown-Forman Corp,--,--,70.12
AXDX UR Equity,Accelerate Diagnostics Inc,--,--,7.51
POWW UR Equity,AMMO Inc,--,--,8.6
GILD UW Equity,Gilead Sciences Inc,--,--,68.41
HAS UW Equity,Hasbro Inc,--,--,95.62
HBAN UW Equity,Huntington Bancshares Inc/OH,--,--,13.97
WELL UN Equity,Welltower Inc,--,--,85.14
BIIB UW Equity,Biogen Inc,--,--,344.89
RRC UN Equity,Range Resources Corp,--,--,15.61
NBR UN Equity,Nabors Industries Ltd,--,--,109.12
NTRS UW Equity,Northern Trust Corp,--,--,114.37
PAYX UW Equity,Paychex Inc,--,--,108.57
