Ticker,Name,Weight,Shares,Price
PBCT UW Equity,People's United Financial Inc,--,--,17.86
PDCO UW Equity,Patterson Cos Inc,--,--,30.38
QCOM UW Equity,QUALCOMM Inc,--,--,137.65
ESXB UR Equity,Community Bankers Trust Corp,--,--,11.7
ROP UN Equity,Roper Technologies Inc,--,--,466.07
ROST UW Equity,Ross Stores Inc,--,--,123.57
VRTS UW Equity,Virtus Investment Partners Inc,--,--,274.8
AN UN Equity,AutoNation Inc,--,--,94.86
CNOB UW Equity,ConnectOne Bancorp Inc,--,--,27.27
SBUX UW Equity,Starbucks Corp,--,--,113.04
KEY UN Equity,KeyCorp,--,--,21.26
STT UN Equity,State Street Corp,--,--,83.23
SVRA UW Equity,Savara Inc,--,--,1.77
USB UN Equity,US Bancorp,--,--,57.85
NLOK UW Equity,NortonLifeLock Inc,--,--,26.98
TROW UW Equity,T Rowe Price Group Inc,--,--,196.71
EVER UQ Equity,EverQuote Inc,--,--,33.87
WM UN Equity,Waste Management Inc,--,--,139.11
STZ UN Equity,Constellation Brands Inc,--,--,228.6
XLNX UW Equity,Xilinx Inc,--,--,132.12
XRAY UW Equity,DENTSPLY SIRONA Inc,--,--,64.18
ZION UW Equity,Zions Bancorp NA,--,--,55.48
PBF UN Equity,PBF Energy Inc,--,--,16.55
IVZ UN Equity,Invesco Ltd,--,--,27.42
INTU UW Equity,Intuit Inc,--,--,486.09
MS UN Equity,Morgan Stanley,--,--,88.4
MCHP UW Equity,Microchip Technology Inc,--,--,148.77
CB UN Equity,Chubb Ltd,--,--,162.29
JBL UN Equity,Jabil Inc,--,--,57.45
ORLY UW Equity,O'Reilly Automotive Inc,--,--,557.16
CDXC UR Equity,ChromaDex Corp,--,--,9.16
ALL UN Equity,Allstate Corp/The,--,--,130.78
MCRB UW Equity,Seres Therapeutics Inc,--,--,23.57
EQR UN Equity,Equity Residential,--,--,78.57
ATEN UN Equity,A10 Networks Inc,--,--,10.93
DELL UN Equity,Dell Technologies Inc,--,--,99.5
BWA UN Equity,BorgWarner Inc,--,--,48.95
ARAV UW Equity,Aravive Inc,--,--,5.55
VIAV UW Equity,Viavi Solutions Inc,--,--,17.59
URBN UW Equity,Urban Outfitters Inc,--,--,41.2
SPG UN Equity,Simon Property Group Inc,--,--,131.07
EMN UN Equity,Eastman Chemical Co,--,--,116.78
AVB UN Equity,AvalonBay Communities Inc,--,--,213.94
PRU UN Equity,Prudential Financial Inc,--,--,104.33
UPS UN Equity,United Parcel Service Inc,--,--,205.61
AIV UN Equity,Apartment Investment and Management Co,--,--,7.36
BRSP UN Equity,BrightSpire Capital Inc,--,--,9.4
MCK UN Equity,McKesson Corp,--,--,191.34
LMT UN Equity,Lockheed Martin Corp,--,--,382.01
ABC UN Equity,AmerisourceBergen Corp,--,--,116.34
COF UN Equity,Capital One Financial Corp,--,--,159.99
WAT UN Equity,Waters Corp,--,--,337.78
DLTR UW Equity,Dollar Tree Inc,--,--,98.35
XPO UN Equity,XPO Logistics Inc,--,--,150.12
DRI UN Equity,Darden Restaurants Inc,--,--,144.11
NTAP UW Equity,NetApp Inc,--,--,82.44
CTXS UW Equity,Citrix Systems Inc,--,--,115.96
DVA UN Equity,DaVita Inc,--,--,121.67
FHI UN Equity,Federated Hermes Inc,--,--,34.62
HIG UN Equity,Hartford Financial Services Group Inc/Th,--,--,63.42
IRM UN Equity,Iron Mountain Inc,--,--,43.16
EL UN Equity,Estee Lauder Cos Inc/The,--,--,315.95
ATI UN Equity,Allegheny Technologies Inc,--,--,21.02
SRCL UW Equity,Stericycle Inc,--,--,72.25
ANF UN Equity,Abercrombie & Fitch Co,--,--,46.24
NOV UN Equity,NOV Inc,--,--,15.66
DGX UN Equity,Quest Diagnostics Inc,--,--,129.63
ROK UN Equity,Rockwell Automation Inc,--,--,285.64
MDWT UR Equity,Midwest Holding Inc,--,--,39.01
AMT UN Equity,American Tower Corp,--,--,266.54
AMZN UW Equity,Amazon.com Inc,--,--,3401.46
AC UN Equity,Associated Capital Group Inc,--,--,40.06
RL UN Equity,Ralph Lauren Corp,--,--,121.18
BXP UN Equity,Boston Properties Inc,--,--,119.8
APH UN Equity,Amphenol Corp,--,--,67.93
PXD UN Equity,Pioneer Natural Resources Co,--,--,165.17
VLO UN Equity,Valero Energy Corp,--,--,82.09
WU UN Equity,Western Union Co/The,--,--,23.52
CHRW UW Equity,CH Robinson Worldwide Inc,--,--,95.79
ACN UN Equity,Accenture PLC,--,--,294.66
YUM UN Equity,Yum! Brands Inc,--,--,117.25
PLD UN Equity,Prologis Inc,--,--,122
FE UN Equity,FirstEnergy Corp,--,--,37.69
VRSN UW Equity,VeriSign Inc,--,--,227.73
PWR UN Equity,Quanta Services Inc,--,--,92.31
AEE UN Equity,Ameren Corp,--,--,81.74
NVDA UW Equity,NVIDIA Corp,--,--,761.24
WBT UN Equity,Welbilt Inc,--,--,23.6
SEE UN Equity,Sealed Air Corp,--,--,58.54
CTSH UW Equity,Cognizant Technology Solutions Corp,--,--,70.49
ZIOP UW Equity,ZIOPHARM Oncology Inc,--,--,2.86
ISRG UW Equity,Intuitive Surgical Inc,--,--,908.35
CNX UN Equity,CNX Resources Corp,--,--,14.68
